Matematika,Bahasa_Inggris,IPA,IPS,Minat,Hobi,Kemampuan_Komputer,Kemampuan_Komunikasi,Kemampuan_Kepemimpinan,Kemampuan_Analisis,Kemampuan_Kreativitas,Kemampuan_Problem_Solving,Mata_Pelajaran_Favorit,Gaya_Belajar,Tujuan_Karier,Aktivitas_Organisasi,Prestasi_Akademik,Prestasi_NonAkademik,Jurusan
88,68,81,79,Teknik,Robotika,Sedang,Sedang,Rendah,Sedang,Sedang,Tinggi,Fisika,Kinestetik,Insinyur Mesin,Komunitas IT,Tidak Ada,Tidak Ada,Teknik Elektro
78,89,71,88,Psikologi,Menulis,Rendah,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Sosiologi,Auditori,Psikolog,PMR,Sekolah - Debat,Tidak Ada,Psikologi
96,67,84,68,Teknik,Penelitian,Tinggi,Sedang,Rendah,Tinggi,Sedang,Tinggi,Fisika,Kinestetik,Insinyur Mesin,Tidak Aktif,Tidak Ada,Olahraga - Internasional,Teknik Mesin
67,84,77,85,Sosial,Menulis,Sedang,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Bahasa Inggris,Auditori,Content Creator,Komunitas Seni,Tidak Ada,Organisasi - Kabupaten,Ilmu Komunikasi
63,56,72,59,Olahraga,Membaca,Sedang,Sedang,Rendah,Sedang,Sedang,Rendah,Biologi,Visual,Dokter,Karang Taruna,Tidak Ada,Tidak Ada,Ilmu Keolahragaan
86,79,73,93,Olahraga,Public Speaking,Rendah,Sedang,Sedang,Rendah,Sedang,Tinggi,Biologi,Visual,Psikolog,Pramuka,Tidak Ada,Organisasi - Nasional,Psikologi
58,80,75,66,Seni,Menggambar,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Sedang,Seni Budaya,Kinestetik,Content Creator,Komunitas Seni,Provinsi - Matematika,Seni - Internasional,Desain Komunikasi Visual
54,70,56,66,Sosial,UI/UX Design,Sedang,Tinggi,Rendah,Tinggi,Sedang,Tinggi,Geografi,Auditori,Dokter,Paskibra,Sekolah - Sains,Seni - Internasional,Desain Komunikasi Visual
75,71,56,80,Bisnis,Investasi,Sedang,Sedang,Tinggi,Tinggi,Rendah,Sedang,Sosiologi,Auditori,Akuntan,Karang Taruna,Tidak Ada,Organisasi - Kabupaten,Administrasi Bisnis
85,79,70,83,Pendidikan,Membaca,Tinggi,Rendah,Tinggi,Tinggi,Tinggi,Sedang,Bahasa Inggris,Membaca/Menulis,Pengacara,Tidak Aktif,Kabupaten - Bahasa Inggris,Tidak Ada,Pendidikan
78,89,68,82,Sosial,Content Creator,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Rendah,Fisika,Membaca/Menulis,Insinyur Sipil,MPK,Tidak Ada,Seni - Kecamatan,Manajemen
78,83,78,68,Teknik,Membaca,Sedang,Rendah,Tinggi,Sedang,Sedang,Sedang,Sejarah,Auditori,Insinyur Sipil,Komunitas Olahraga,Tidak Ada,Olahraga - Provinsi,Teknik Sipil
81,85,78,90,Teknologi,Berjualan,Sedang,Sedang,Sedang,Sedang,Tinggi,Sedang,Matematika,Visual,UI UX Designer,OSIS,Kecamatan - Informatika,Tidak Ada,Sistem Informasi
55,79,62,60,Teknik,Game Development,Tinggi,Sedang,Sedang,Tinggi,Sedang,Rendah,Kimia,Auditori,Software Engineer,Tidak Aktif,Tidak Ada,Tidak Ada,Teknik Mesin
77,77,74,73,Kesehatan,Penelitian,Sedang,Sedang,Sedang,Sedang,Rendah,Tinggi,Kimia,Auditori,Arsitek,Paskibra,Sekolah - Biologi,Kepemimpinan - Kabupaten,Kedokteran
79,84,72,99,Bisnis,Investasi,Sedang,Tinggi,Tinggi,Rendah,Sedang,Rendah,Sejarah,Auditori,Guru,Komunitas Olahraga,Sekolah - Bahasa Inggris,Tidak Ada,Manajemen
63,71,78,79,Seni,Fotografi,Sedang,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Seni Budaya,Visual,UI UX Designer,Komunitas Seni,Kecamatan - Sains,Seni - Kecamatan,Desain Komunikasi Visual
64,71,68,68,Teknik,Musik,Tinggi,Sedang,Rendah,Sedang,Tinggi,Rendah,Bahasa Inggris,Kinestetik,Entrepreneur,Karang Taruna,Kecamatan - Matematika,Organisasi - Kabupaten,Teknik Elektro
62,76,62,80,Olahraga,Atletik,Rendah,Sedang,Sedang,Sedang,Sedang,Sedang,PJOK,Kinestetik,Dosen,Paskibra,Tidak Ada,Organisasi - Kecamatan,Ilmu Keolahragaan
82,73,74,83,Pendidikan,Public Speaking,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Bahasa Indonesia,Membaca/Menulis,Dosen,OSIS,Tidak Ada,Kepemimpinan - Kecamatan,Pendidikan
79,89,78,65,Seni,Penelitian,Rendah,Rendah,Sedang,Rendah,Tinggi,Tinggi,Ekonomi,Kinestetik,Business Analyst,PMR,Sekolah - Sains,Tidak Ada,Arsitektur
86,92,90,74,Teknik,Berjualan,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Matematika,Membaca/Menulis,Business Analyst,MPK,Kabupaten - Fisika,Kepemimpinan - Nasional,Teknik Industri
70,88,72,74,Sosial,Menulis,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Sosiologi,Visual,Content Creator,BEM,Kecamatan - Bahasa Inggris,Organisasi - Kabupaten,Ilmu Komunikasi
75,83,70,79,Teknik,Musik,Rendah,Sedang,Tinggi,Sedang,Sedang,Rendah,Sosiologi,Visual,Insinyur Sipil,Komunitas Olahraga,Tidak Ada,Tidak Ada,Teknik Elektro
69,68,74,66,Teknologi,Coding,Tinggi,Sedang,Rendah,Sedang,Sedang,Sedang,Seni Budaya,Auditori,Insinyur Mesin,Paskibra,Kecamatan - Informatika,Pramuka - Nasional,Teknik Informatika
81,76,85,74,Pendidikan,Public Speaking,Sedang,Rendah,Sedang,Tinggi,Sedang,Rendah,Kimia,Membaca/Menulis,Insinyur Sipil,Komunitas Seni,Sekolah - Matematika,Tidak Ada,Pendidikan
88,78,91,62,Kesehatan,Membaca,Tinggi,Tinggi,Rendah,Tinggi,Sedang,Tinggi,Kimia,Visual,Apoteker,PMR,Internasional - Matematika,Tidak Ada,Farmasi
85,93,82,77,Bisnis,UI/UX Design,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Informatika,Visual,Business Analyst,OSIS,Sekolah - Matematika,Organisasi - Kecamatan,Sistem Informasi
84,74,79,90,Bisnis,Web Development,Sedang,Tinggi,Tinggi,Sedang,Sedang,Sedang,Ekonomi,Visual,Business Analyst,OSIS,Provinsi - Matematika,Kepemimpinan - Kabupaten,Sistem Informasi
83,77,67,71,Sosial,Menulis,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Bahasa Indonesia,Auditori,Content Creator,MPK,Internasional - Bahasa Indonesia,Seni - Kecamatan,Ilmu Komunikasi
63,91,65,78,Bisnis,Public Speaking,Sedang,Tinggi,Sedang,Sedang,Sedang,Sedang,Bahasa Inggris,Visual,Entrepreneur,MPK,Sekolah - Debat,Organisasi - Internasional,Manajemen
84,77,79,76,Teknik,Game Development,Sedang,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Fisika,Kinestetik,Network Engineer,OSIS,Kecamatan - Fisika,Tidak Ada,Teknik Elektro
85,73,81,79,Kesehatan,Volunteering,Sedang,Sedang,Tinggi,Sedang,Rendah,Tinggi,Biologi,Membaca/Menulis,Apoteker,Pramuka,Nasional - Sains,Tidak Ada,Farmasi
93,79,96,80,Kesehatan,Membaca,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Kimia,Visual,Dokter,PMR,Sekolah - Biologi,Tidak Ada,Kedokteran
90,87,92,80,Kesehatan,Volunteering,Sedang,Tinggi,Rendah,Sedang,Rendah,Sedang,Biologi,Visual,Dokter,PMR,Sekolah - Kimia,Organisasi - Internasional,Kedokteran
80,63,89,65,Teknologi,Coding,Sedang,Sedang,Sedang,Tinggi,Sedang,Tinggi,Fisika,Kinestetik,Insinyur Mesin,Komunitas IT,Sekolah - Fisika,Kepemimpinan - Kabupaten,Teknik Elektro
83,87,73,82,Bisnis,Berjualan,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Bahasa Inggris,Auditori,Akuntan,OSIS,Tidak Ada,Tidak Ada,Administrasi Bisnis
82,72,70,50,Teknik,Merakit Elektronik,Sedang,Sedang,Tinggi,Tinggi,Sedang,Rendah,Kimia,Visual,Manajer,PMR,Sekolah - Fisika,Tidak Ada,Teknik Sipil
84,64,84,73,Teknik,Merakit Elektronik,Rendah,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Fisika,Visual,Insinyur Mesin,Tidak Aktif,Sekolah - Fisika,Olahraga - Kabupaten,Teknik Mesin
82,81,84,66,Teknik,Penelitian,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Fisika,Visual,Arsitek,OSIS,Kecamatan - Sains,Seni - Internasional,Arsitektur
63,86,69,89,Bisnis,Content Creator,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Sosiologi,Auditori,Manajer,OSIS,Tidak Ada,Tidak Ada,Manajemen
74,87,84,87,Sosial,Menulis,Sedang,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Bahasa Indonesia,Membaca/Menulis,Dosen,BEM,Sekolah - Debat,Kepemimpinan - Sekolah,Hukum
90,78,66,86,Bisnis,Content Creator,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Ekonomi,Visual,Manajer,OSIS,Tidak Ada,Tidak Ada,Manajemen
67,66,68,75,Seni,Video Editing,Tinggi,Tinggi,Rendah,Tinggi,Tinggi,Sedang,Bahasa Inggris,Kinestetik,Content Creator,Komunitas Seni,Sekolah - Bahasa Inggris,Organisasi - Kecamatan,Desain Komunikasi Visual
81,61,63,78,Bisnis,Berjualan,Sedang,Sedang,Tinggi,Tinggi,Sedang,Sedang,Matematika,Visual,Business Analyst,OSIS,Sekolah - Matematika,Tidak Ada,Akuntansi
60,63,64,66,Teknik,Esport,Rendah,Rendah,Tinggi,Tinggi,Sedang,Rendah,Bahasa Indonesia,Auditori,Akuntan,Komunitas Seni,Tidak Ada,Organisasi - Kabupaten,Teknik Sipil
90,80,75,83,Bisnis,Investasi,Tinggi,Sedang,Tinggi,Sedang,Sedang,Tinggi,Ekonomi,Membaca/Menulis,Akuntan,Organisasi Keagamaan,Sekolah - Matematika,Tidak Ada,Akuntansi
65,76,57,55,Lingkungan,Musik,Tinggi,Sedang,Sedang,Tinggi,Sedang,Sedang,Bahasa Inggris,Membaca/Menulis,Dosen,Karang Taruna,Kabupaten - Sains,Olahraga - Internasional,Teknik Mesin
71,74,72,54,Teknik,Musik,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Sedang,Fisika,Visual,Pengacara,Tidak Aktif,Kabupaten - Matematika,Tidak Ada,Teknik Mesin
68,88,72,90,Psikologi,Penelitian,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Bahasa Indonesia,Auditori,Psikolog,BEM,Sekolah - Biologi,Organisasi - Kabupaten,Psikologi
72,89,62,72,Bisnis,Web Development,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Matematika,Membaca/Menulis,UI UX Designer,Tidak Aktif,Kecamatan - Ekonomi,Organisasi - Kecamatan,Sistem Informasi
86,67,82,76,Teknik,Penelitian,Sedang,Rendah,Rendah,Sedang,Tinggi,Sedang,Fisika,Visual,Insinyur Sipil,BEM,Kabupaten - Fisika,Tidak Ada,Teknik Sipil
78,66,76,70,Lingkungan,Membaca,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Fisika,Membaca/Menulis,Insinyur Sipil,Pramuka,Tidak Ada,Organisasi - Kabupaten,Teknik Lingkungan
72,85,82,75,Bisnis,Menulis,Sedang,Tinggi,Sedang,Sedang,Tinggi,Rendah,Fisika,Visual,Software Engineer,Komunitas Olahraga,Sekolah - Matematika,Kepemimpinan - Provinsi,Manajemen Bisnis
79,87,86,75,Teknik,Game Development,Sedang,Sedang,Sedang,Tinggi,Sedang,Tinggi,Matematika,Kinestetik,Software Engineer,OSIS,Kecamatan - Sains,Kepemimpinan - Provinsi,Teknik Elektro
79,81,69,75,Pendidikan,Public Speaking,Tinggi,Tinggi,Rendah,Sedang,Tinggi,Rendah,Sosiologi,Visual,Manajer,Paskibra,Kecamatan - Bahasa Indonesia,Organisasi - Sekolah,Hukum
72,81,79,71,Bisnis,Public Speaking,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Ekonomi,Auditori,Manajer,BEM,Tidak Ada,Kepemimpinan - Sekolah,Manajemen Bisnis
65,77,63,67,Olahraga,Taekwondo,Rendah,Sedang,Sedang,Sedang,Rendah,Tinggi,Biologi,Kinestetik,Pelatih Olahraga,Pramuka,Provinsi - Sains,Kepemimpinan - Kabupaten,Ilmu Keolahragaan
87,71,81,76,Psikologi,Menulis,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Sosiologi,Membaca/Menulis,Guru,OSIS,Sekolah - Biologi,Kepemimpinan - Sekolah,Psikologi
74,83,64,73,Psikologi,Volunteering,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Bahasa Indonesia,Auditori,Guru,OSIS,Nasional - Debat,Seni - Sekolah,Psikologi
87,86,83,80,Kesehatan,Volunteering,Sedang,Tinggi,Sedang,Sedang,Rendah,Tinggi,Kimia,Membaca/Menulis,Apoteker,OSIS,Sekolah - Biologi,Tidak Ada,Farmasi
87,69,81,56,Teknik,Robotika,Sedang,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Fisika,Kinestetik,Insinyur Mesin,Komunitas IT,Sekolah - Fisika,Olahraga - Sekolah,Teknik Mesin
81,81,83,72,Bisnis,Content Creator,Sedang,Tinggi,Sedang,Tinggi,Sedang,Sedang,Matematika,Auditori,Manajer,OSIS,Sekolah - Debat,Tidak Ada,Manajemen Bisnis
77,77,99,76,Kesehatan,Volunteering,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Kimia,Visual,Dosen,OSIS,Kecamatan - Kimia,Tidak Ada,Farmasi
83,82,81,87,Pendidikan,Menulis,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Bahasa Indonesia,Membaca/Menulis,Guru,OSIS,Internasional - Debat,Tidak Ada,Pendidikan
82,77,79,82,Teknik,Membaca,Sedang,Sedang,Rendah,Sedang,Tinggi,Rendah,Biologi,Membaca/Menulis,Akuntan,Komunitas Olahraga,Tidak Ada,Tidak Ada,Teknik Sipil
87,71,97,72,Teknologi,Mobile Development,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Fisika,Visual,Software Engineer,Komunitas IT,Kabupaten - Informatika,Tidak Ada,Teknik Informatika
80,64,93,73,Bisnis,Membaca,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Matematika,Membaca/Menulis,Insinyur Mesin,MPK,Kecamatan - Matematika,Pramuka - Sekolah,Teknik Industri
61,72,54,82,Sosial,Content Creator,Sedang,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Bahasa Indonesia,Visual,Content Creator,BEM,Kabupaten - Bahasa Indonesia,Organisasi - Kabupaten,Ilmu Komunikasi
79,93,72,77,Sosial,Content Creator,Sedang,Tinggi,Sedang,Tinggi,Rendah,Sedang,Biologi,Visual,UI UX Designer,Pramuka,Nasional - Matematika,Olahraga - Provinsi,Manajemen Bisnis
77,93,62,84,Sosial,Debat,Sedang,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Sosiologi,Membaca/Menulis,Dosen,BEM,Kecamatan - Bahasa Inggris,Kepemimpinan - Nasional,Hukum
82,84,68,76,Sosial,Content Creator,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Bahasa Indonesia,Visual,Entrepreneur,OSIS,Sekolah - Bahasa Inggris,Kepemimpinan - Sekolah,Ilmu Komunikasi
89,72,92,62,Seni,Fotografi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Matematika,Kinestetik,Arsitek,Komunitas Seni,Tidak Ada,Seni - Sekolah,Arsitektur
67,93,80,75,Teknologi,Coding,Sedang,Sedang,Sedang,Sedang,Sedang,Tinggi,Informatika,Visual,UI UX Designer,Komunitas IT,Nasional - Informatika,Organisasi - Internasional,Sistem Informasi
94,77,88,75,Lingkungan,Penelitian,Sedang,Sedang,Sedang,Tinggi,Sedang,Tinggi,Biologi,Membaca/Menulis,Konsultan Lingkungan,Karang Taruna,Internasional - Kimia,Olahraga - Provinsi,Teknik Lingkungan
78,85,74,91,Seni,Volunteering,Sedang,Rendah,Tinggi,Rendah,Rendah,Rendah,Ekonomi,Membaca/Menulis,Content Creator,Tidak Aktif,Tidak Ada,Organisasi - Kecamatan,Psikologi
63,70,66,75,Bisnis,Membaca,Sedang,Tinggi,Sedang,Sedang,Rendah,Sedang,Bahasa Inggris,Membaca/Menulis,Business Analyst,BEM,Sekolah - Ekonomi,Olahraga - Provinsi,Administrasi Bisnis
67,74,76,83,Psikologi,Menulis,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Bahasa Indonesia,Membaca/Menulis,Psikolog,PMR,Sekolah - Biologi,Kepemimpinan - Provinsi,Psikologi
68,91,64,84,Sosial,Debat,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Sosiologi,Membaca/Menulis,Pengacara,OSIS,Nasional - Bahasa Indonesia,Kepemimpinan - Internasional,Hukum
100,89,93,80,Teknik,Investasi,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Fisika,Visual,Business Analyst,MPK,Sekolah - Matematika,Pramuka - Sekolah,Teknik Industri
78,68,75,71,Lingkungan,Membaca,Rendah,Rendah,Sedang,Rendah,Sedang,Tinggi,Seni Budaya,Visual,Guru,Paskibra,Kecamatan - Kimia,Organisasi - Provinsi,Teknik Lingkungan
84,76,70,71,Bisnis,Coding,Rendah,Sedang,Tinggi,Sedang,Tinggi,Rendah,Sejarah,Visual,Business Analyst,OSIS,Kecamatan - Matematika,Seni - Internasional,Teknik Industri
83,88,89,78,Teknik,Membaca,Sedang,Sedang,Rendah,Tinggi,Tinggi,Tinggi,Fisika,Kinestetik,Insinyur Sipil,OSIS,Sekolah - Matematika,Organisasi - Nasional,Teknik Sipil
89,70,80,63,Teknik,Menggambar,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Fisika,Visual,Arsitek,Komunitas Seni,Tidak Ada,Seni - Kecamatan,Arsitektur
89,78,93,60,Lingkungan,Volunteering,Sedang,Sedang,Rendah,Tinggi,Tinggi,Sedang,Kimia,Membaca/Menulis,Konsultan Lingkungan,OSIS,Kecamatan - Kimia,Tidak Ada,Teknik Lingkungan
59,74,74,76,Teknologi,Robotika,Tinggi,Sedang,Tinggi,Sedang,Rendah,Sedang,Sosiologi,Membaca/Menulis,Guru,Tidak Aktif,Kabupaten - Matematika,Tidak Ada,Teknik Elektro
82,81,80,61,Bisnis,Berjualan,Rendah,Sedang,Sedang,Tinggi,Rendah,Sedang,Geografi,Membaca/Menulis,Konsultan Lingkungan,Tidak Aktif,Sekolah - Matematika,Organisasi - Provinsi,Akuntansi
79,77,80,66,Teknik,Penelitian,Sedang,Tinggi,Rendah,Tinggi,Sedang,Tinggi,Fisika,Kinestetik,Insinyur Sipil,Komunitas IT,Sekolah - Fisika,Organisasi - Nasional,Teknik Mesin
63,69,59,83,Seni,Menggambar,Sedang,Sedang,Sedang,Tinggi,Tinggi,Sedang,Informatika,Kinestetik,UI UX Designer,Komunitas Seni,Sekolah - Bahasa Inggris,Organisasi - Kabupaten,Desain Komunikasi Visual
74,68,75,72,Olahraga,Sepak Bola,Sedang,Rendah,Sedang,Tinggi,Sedang,Sedang,PJOK,Kinestetik,Guru,Pramuka,Sekolah - Matematika,Organisasi - Internasional,Ilmu Keolahragaan
65,87,60,71,Bisnis,Public Speaking,Sedang,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Sosiologi,Auditori,Manajer,BEM,Tidak Ada,Kepemimpinan - Kecamatan,Manajemen
89,72,51,93,Bisnis,Investasi,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Bahasa Inggris,Visual,Entrepreneur,OSIS,Sekolah - Debat,Tidak Ada,Manajemen
71,90,78,81,Teknologi,Berjualan,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Ekonomi,Membaca/Menulis,Business Analyst,Tidak Aktif,Sekolah - Matematika,Seni - Internasional,Sistem Informasi
87,63,80,89,Bisnis,Berjualan,Rendah,Tinggi,Rendah,Tinggi,Sedang,Sedang,Ekonomi,Membaca/Menulis,Akuntan,OSIS,Tidak Ada,Organisasi - Provinsi,Akuntansi
62,87,67,84,Bisnis,Content Creator,Rendah,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Ekonomi,Auditori,Manajer,Karang Taruna,Provinsi - Ekonomi,Olahraga - Internasional,Manajemen Bisnis
77,68,79,87,Bisnis,Membaca,Sedang,Tinggi,Rendah,Tinggi,Sedang,Tinggi,Ekonomi,Membaca/Menulis,Akuntan,OSIS,Tidak Ada,Tidak Ada,Akuntansi
58,78,62,83,Olahraga,Atletik,Rendah,Sedang,Tinggi,Sedang,Sedang,Tinggi,PJOK,Kinestetik,Pelatih Olahraga,Komunitas Olahraga,Kabupaten - Matematika,Organisasi - Kecamatan,Ilmu Keolahragaan
82,93,74,84,Bisnis,Content Creator,Sedang,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Ekonomi,Visual,Entrepreneur,Karang Taruna,Kabupaten - Matematika,Organisasi - Provinsi,Manajemen Bisnis
82,67,67,78,Pendidikan,Membaca,Sedang,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Bahasa Indonesia,Membaca/Menulis,Dosen,Paskibra,Kecamatan - Debat,Tidak Ada,Pendidikan
87,68,100,73,Teknologi,Game Development,Tinggi,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Informatika,Visual,Software Engineer,Komunitas IT,Sekolah - Informatika,Organisasi - Kecamatan,Teknik Informatika
93,64,71,76,Bisnis,Membaca,Sedang,Tinggi,Rendah,Sedang,Rendah,Tinggi,Matematika,Visual,Akuntan,OSIS,Kecamatan - Matematika,Organisasi - Internasional,Akuntansi
62,75,61,83,Bisnis,Menulis,Sedang,Rendah,Rendah,Rendah,Sedang,Sedang,PJOK,Kinestetik,Data Scientist,MPK,Tidak Ada,Pramuka - Kecamatan,Akuntansi
83,75,73,81,Bisnis,Investasi,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Sosiologi,Visual,Manajer,OSIS,Sekolah - Ekonomi,Organisasi - Kabupaten,Manajemen
100,75,68,99,Bisnis,Menulis,Sedang,Tinggi,Sedang,Sedang,Sedang,Sedang,Ekonomi,Membaca/Menulis,Akuntan,Tidak Aktif,Kabupaten - Debat,Tidak Ada,Akuntansi
83,79,81,89,Teknik,Membaca,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Ekonomi,Membaca/Menulis,Business Analyst,BEM,Sekolah - Fisika,Organisasi - Nasional,Teknik Industri
59,84,66,66,Sosial,Public Speaking,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Bahasa Indonesia,Auditori,Entrepreneur,MPK,Kabupaten - Bahasa Inggris,Kepemimpinan - Provinsi,Ilmu Komunikasi
82,87,77,72,Seni,Fotografi,Rendah,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Sejarah,Visual,Content Creator,BEM,Tidak Ada,Seni - Internasional,Arsitektur
70,64,75,70,Kesehatan,Menulis,Sedang,Rendah,Rendah,Tinggi,Rendah,Rendah,Kimia,Visual,Psikolog,Karang Taruna,Kabupaten - Matematika,Kepemimpinan - Provinsi,Farmasi
79,81,80,71,Teknologi,Coding,Tinggi,Sedang,Sedang,Tinggi,Sedang,Tinggi,Ekonomi,Membaca/Menulis,UI UX Designer,BEM,Provinsi - Informatika,Tidak Ada,Sistem Informasi
83,90,93,51,Teknologi,Coding,Tinggi,Sedang,Rendah,Tinggi,Sedang,Tinggi,Informatika,Membaca/Menulis,Data Scientist,Komunitas IT,Kabupaten - Fisika,Organisasi - Provinsi,Teknik Informatika
96,71,94,82,Teknik,Investasi,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Fisika,Membaca/Menulis,Business Analyst,OSIS,Nasional - Fisika,Organisasi - Sekolah,Teknik Industri
60,80,73,81,Lingkungan,Pramuka,Sedang,Tinggi,Tinggi,Rendah,Sedang,Sedang,PJOK,Auditori,Entrepreneur,Komunitas Seni,Kabupaten - Sains,Kepemimpinan - Provinsi,Teknik Lingkungan
74,74,72,79,Teknologi,Public Speaking,Tinggi,Tinggi,Tinggi,Tinggi,Rendah,Rendah,Fisika,Membaca/Menulis,Insinyur Sipil,Komunitas Seni,Tidak Ada,Tidak Ada,Sistem Informasi
99,87,76,83,Kesehatan,Membaca,Tinggi,Sedang,Rendah,Tinggi,Sedang,Tinggi,Kimia,Membaca/Menulis,Apoteker,PMR,Kecamatan - Kimia,Pramuka - Nasional,Farmasi
57,86,61,76,Olahraga,Menulis,Sedang,Sedang,Rendah,Rendah,Sedang,Sedang,Bahasa Indonesia,Membaca/Menulis,Software Engineer,OSIS,Kecamatan - Bahasa Inggris,Tidak Ada,Psikologi
88,74,85,68,Lingkungan,Penelitian,Rendah,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Kimia,Membaca/Menulis,Konsultan Lingkungan,Karang Taruna,Tidak Ada,Tidak Ada,Teknik Lingkungan
79,94,68,75,Teknik,Coding,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Rendah,Seni Budaya,Auditori,Data Scientist,MPK,Tidak Ada,Olahraga - Provinsi,Teknik Industri
86,67,86,60,Teknik,Game Development,Tinggi,Tinggi,Rendah,Tinggi,Sedang,Sedang,Fisika,Visual,Network Engineer,Tidak Aktif,Provinsi - Fisika,Pramuka - Internasional,Teknik Elektro
71,85,62,67,Teknik,Sepak Bola,Sedang,Sedang,Tinggi,Sedang,Rendah,Sedang,Matematika,Kinestetik,Content Creator,Organisasi Keagamaan,Provinsi - Fisika,Tidak Ada,Teknik Sipil
98,93,93,76,Teknik,Desain Grafis,Tinggi,Sedang,Rendah,Sedang,Tinggi,Sedang,Fisika,Visual,Arsitek,Komunitas Seni,Kabupaten - Fisika,Kepemimpinan - Provinsi,Arsitektur
81,81,83,97,Bisnis,Membaca,Sedang,Tinggi,Tinggi,Tinggi,Rendah,Sedang,Matematika,Membaca/Menulis,Akuntan,Tidak Aktif,Kabupaten - Debat,Organisasi - Kecamatan,Akuntansi
93,72,67,90,Bisnis,Berjualan,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Matematika,Visual,Akuntan,Organisasi Keagamaan,Tidak Ada,Organisasi - Internasional,Akuntansi
76,94,84,73,Sosial,Menulis,Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Biologi,Membaca/Menulis,Dosen,OSIS,Kecamatan - Bahasa Inggris,Kepemimpinan - Kecamatan,Psikologi
81,73,86,69,Teknik,Membaca,Sedang,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Matematika,Kinestetik,Konsultan Lingkungan,Tidak Aktif,Kabupaten - Fisika,Kepemimpinan - Kecamatan,Teknik Sipil
80,71,76,63,Pendidikan,Membaca,Sedang,Tinggi,Sedang,Rendah,Rendah,Rendah,Informatika,Kinestetik,Business Analyst,Pramuka,Nasional - Biologi,Organisasi - Internasional,Kedokteran
80,70,89,78,Kesehatan,Membaca,Sedang,Sedang,Sedang,Sedang,Rendah,Tinggi,Biologi,Membaca/Menulis,Apoteker,PMR,Nasional - Kimia,Tidak Ada,Farmasi
